name,occurrences_in_calendar,category,priority,country,active
Quavo Marshall,1,Outro,Média,,true
Michael Clarke Duncan,1,Outro,Média,,true
DB Woodside,1,Outro,Média,,true
Thiaguinho,1,Outro,Média,,true
Bianca Belair,1,Outro,Média,,true
Djonga,1,Outro,Média,,true
Christopher George Latore Wallace,1,Outro,Média,,true
Jada Pinkett Smith,1,Outro,Média,,true
Kodak Black,1,Outro,Média,,true
Michelle Williams,1,Outro,Média,,true
China Anne McClain,1,Outro,Média,,true
Jean Paulo,1,Outro,Média,,true
Manoel Soares,1,Outro,Média,,true
Method Man,1,Outro,Média,,true
Jermaine Dupri,1,Outro,Média,,true
Mekai Curtis,1,Outro,Média,,true
Danai Gurira,1,Outro,Média,,true
Rumi e Sir Carter,1,Outro,Média,,true
Fabiana Claudino,1,Outro,Média,,true
Ayra Starr,1,Outro,Média,,true
Patricia Ramos,1,Outro,Média,,true
Woody McClain,1,Outro,Média,,true
Justine Skye,1,Outro,Média,,true
Bento (Filho do Thiaguinho),1,Outro,Média,,true
Missy Elliott,1,Outro,Média,,true
Idris Elba,1,Outro,Média,,true
Thaíde,1,Outro,Média,,true
Shenseea,1,Outro,Média,,true
Meghan Markle,1,Outro,Média,,true
Mumuzinho,1,Outro,Média,,true
Khaby Lame,1,Outro,Média,,true
Raven-Symoné,1,Outro,Média,,true
Jude Bellingham,1,Outro,Média,,true
Alfred Enoch,1,Outro,Média,,true
Martin Lawrence,1,Outro,Média,,true
Rick Ross,1,Outro,Média,,true
Jhene Aiko,1,Outro,Média,,true
21 Savage,1,Outro,Média,,true
Wanda Sykes,1,Outro,Média,,true
Serena Williams,1,Outro,Média,,true
[aniversário],1,Outro,Média,,true
Lena Waithe,1,Outro,Média,,true
Nipsey Hussle,1,Outro,Média,,true
Samuel L. Jackson,1,Outro,Média,,true
Saweetie,1,Outro,Média,,true
Tasha e Tracie,1,Outro,Média,,true
Gunna,1,Outro,Média,,true
Wyclef Jean,1,Outro,Média,,true
Flavor Flav,1,Outro,Média,,true
Romelu Lukaku,1,Outro,Média,,true
Rudolph Ingram,1,Outro,Média,,true
Barack Obama,1,Outro,Média,,true
DaBaby,1,Outro,Média,,true
Lil Uzi Vert,1,Outro,Média,,true
DMX,1,Outro,Média,,true
Nicki Minaj,1,Outro,Média,,true
Patricia de Jesus,1,Outro,Média,,true
Michael Jordan,1,Outro,Média,,true
MC Carol,1,Outro,Média,,true
Rhudson Victor,1,Outro,Média,,true
Rosa Parks,1,Outro,Média,,true
Tati Quebra Barraco,1,Outro,Média,,true
Sanaa Lathan,1,Outro,Média,,true
Donovan Mitchell,1,Outro,Média,,true
Nipsey Russell,1,Outro,Média,,true
Winnie Harlow,1,Outro,Média,,true
Isaiah Washington,1,Outro,Média,,true
Ciara,1,Outro,Média,,true
John Witherspoon,1,Outro,Média,,true
Big Sean,1,Outro,Média,,true
Dira Paes,1,Outro,Média,,true
Negra Li,1,Outro,Média,,true
PartyNextDoor,1,Outro,Média,,true
Titi Gagliasso Ewbank,1,Outro,Média,,true
John Legend,1,Outro,Média,,true
Yvonne Orji,1,Outro,Média,,true
Brian McKnight,1,Outro,Média,,true
Lucas Penteado,1,Outro,Média,,true
Stephen Curry,1,Outro,Média,,true
Doechii,1,Outro,Média,,true
Taio Cruz,1,Outro,Média,,true
Gaby Amarantos,1,Outro,Média,,true
Mc Loma,1,Outro,Média,,true
Keith Powers,1,Outro,Média,,true
Aaliyah,1,Outro,Média,,true
Abebe Bikila,1,Outro,Média,,true
Jazmine Sullivan,1,Outro,Média,,true
Jharrel Jerome,1,Outro,Média,,true
Ronaldo,1,Outro,Média,,true
Mc Soffia,1,Outro,Média,,true
Taraji P. Henson,1,Outro,Média,,true
Janelle Monáe,1,Outro,Média,,true
Bela Maria,1,Outro,Média,,true
Luiz Gama,1,Outro,Média,,true
Trey Songz,1,Outro,Média,,true
Shemar Franklin Moore,1,Outro,Média,,true
Kanye West,1,Outro,Média,,true
Ella Mai,1,Outro,Média,,true
Spike Lee,1,Outro,Média,,true
Sister Rosetta Tharpe,1,Outro,Média,,true
Regé-Jean Page,1,Outro,Média,,true
Yara Shahidi,1,Outro,Média,,true
Olandria Carthen,1,Outro,Média,,true
Skepta,1,Outro,Média,,true
Tupac Shakur (1971-1996),1,Outro,Média,,true
Tyla,1,Outro,Média,,true
Mike Tyson,1,Outro,Média,,true
Amirah Vann,1,Outro,Média,,true
Mya,1,Outro,Média,,true
Brunna Gonçalves,1,Outro,Média,,true
Virgil Abloh,1,Outro,Média,,true
Mario,1,Outro,Média,,true
Timbaland,1,Outro,Média,,true
Marietta Sangai Sirleaf,1,Outro,Média,,true
Fabrício Boliveira Pereira,1,Outro,Média,,true
Stefon Diggs,1,Outro,Média,,true
Dr. Dre,1,Outro,Média,,true
Glória Maria,1,Outro,Média,,true
